Hardcoded English strings without .tr (excluding translation files and firebase_options.dart)
Total: 918

lib/main.dart:40 | in_en=no | Jovera Finance
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:29 | in_en=yes | Calculator
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:38 | in_en=yes | Amount
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:39 | in_en=no | AED ${controller.loanAmount.value.round()}
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:63 | in_en=yes | Payment Period
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:65 | in_en=no | ${controller.paymentPeriod.value} ${
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:65 | in_en=no | .tr}
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:74 | in_en=yes | Investor
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:92 | in_en=yes | Annual Interest Rate
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:93 | in_en=no | ${controller.interestRate.value} %
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:100 | in_en=yes | Investor
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:126 | in_en=yes | Monthly Installment
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:134 | in_en=no | ${controller.calculateEMI().round()} AED
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:148 | in_en=yes | Total Interest
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:175 | in_en=yes | Total Amount
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:201 | in_en=yes | Apply
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:216 | in_en=yes | Login to Apply
lib/screens/business_loan/calculator/business_loan_calculator_view.dart:226 | in_en=yes | Get Free Consultation
lib/screens/business_loan/widget/calculator_slider.dart:44 | in_en=no | ${min.round()}
lib/screens/business_loan/widget/calculator_slider.dart:45 | in_en=no | ${max.round()}
lib/screens/business_loan/widget/calculator_tab.dart:22 | in_en=yes | UAE National
lib/screens/business_loan/widget/upload_document_widget.dart:70 | in_en=yes | View
lib/screens/business_loan/provider/business_loan_provider.dart:12 | in_en=no | /api/leads/create-lead
lib/screens/business_loan/controller/business_loan_controller.dart:1 | in_en=no | dart:io
lib/screens/business_loan/controller/business_loan_controller.dart:2 | in_en=no | dart:math
lib/screens/business_loan/controller/business_loan_controller.dart:19 | in_en=yes | SME - Small, Medium Company
lib/screens/business_loan/controller/business_loan_controller.dart:28 | in_en=yes | UAE National
lib/screens/business_loan/controller/business_loan_controller.dart:46 | in_en=yes | UAE National
lib/screens/business_loan/controller/business_loan_controller.dart:47 | in_en=yes | Villa
lib/screens/business_loan/controller/business_loan_controller.dart:48 | in_en=yes | Abu Dhabi
lib/screens/business_loan/controller/business_loan_controller.dart:49 | in_en=yes | New
lib/screens/business_loan/controller/business_loan_controller.dart:51 | in_en=yes | Abu Dhabi
lib/screens/business_loan/controller/business_loan_controller.dart:52 | in_en=yes | Dubai
lib/screens/business_loan/controller/business_loan_controller.dart:53 | in_en=yes | Sharjah
lib/screens/business_loan/controller/business_loan_controller.dart:54 | in_en=yes | Ajman
lib/screens/business_loan/controller/business_loan_controller.dart:55 | in_en=yes | Umm Al Quwain
lib/screens/business_loan/controller/business_loan_controller.dart:56 | in_en=yes | Ras Al Khaimah
lib/screens/business_loan/controller/business_loan_controller.dart:57 | in_en=yes | Fujairah
lib/screens/business_loan/controller/business_loan_controller.dart:59 | in_en=yes | UAE National
lib/screens/business_loan/controller/business_loan_controller.dart:59 | in_en=yes | Expat
lib/screens/business_loan/controller/business_loan_controller.dart:77 | in_en=no | Your application is successfully submitted. We will get back to you after a short review.
lib/screens/business_loan/controller/business_loan_controller.dart:87 | in_en=no | Opps, an error occurred, Please try again later
lib/screens/business_loan/controller/business_loan_controller.dart:97 | in_en=no | client
lib/screens/business_loan/controller/business_loan_controller.dart:99 | in_en=no | product
lib/screens/business_loan/controller/business_loan_controller.dart:99 | in_en=yes | Business Loan
